Frequency[Hz],Impedance[ohm],
99.99999999999999,7.290343946865764,
104.57921513303334,6.971121284151639,
109.3681223784127,6.665876438593956,
114.37632398907938,6.373997362795288,
119.61386192579457,6.094898809105074,
125.09123799230618,5.828021156137725,
130.8194348925486,5.572829286674046,
136.8099382520969,5.328811514695989,
143.0747596480305,5.095478559403435,
149.6264606933842,4.872362564155724,
156.47817822447783,4.659016158370831,
163.643650641628,4.455011560501212,
171.13724545605763,4.2599397202876865,
178.97398809823787,4.073409498571462,
187.1695920454257,3.8950468830198006,
195.74049032880657,3.724494238192711,
204.70386848341695,3.56140958844699,
214.07769900691426,3.405465932239812,
223.88077739628844,3.2563505864568962,
234.132759834772,3.1137645594506096,
244.85420260451446,2.9774219515308875,
256.06660330404856,2.847049381706861,
267.79244395319193,2.722385439529772,
280.0552360718164,2.603180160938073,
292.87956782286926,2.4891945270536913,
306.2911533141767,2.3801999849245337,
320.3168841578819,2.2759779892522416,
334.9848833909005,2.1763195641863318,
350.32456186451077,2.0810248843060606,
366.36667721614316,1.9899028739498417,
383.1433955416162,1.9027708240888488,
400.6883558914757,1.819454025976556,
419.03673772076064,1.7397854208396915,
438.22533142743896,1.6636052649081603,
458.2926121209498,1.5907608091123167,
479.2788167687661,1.5211059928053188,
501.22602487566456,1.4545011508964727,
524.1782428574726,1.390812733808316,
548.1814922784702,1.3299130396959467,
573.2839021293738,1.2716799583916485,
599.5358053309263,1.2159967265614133,
626.9898396565933,1.1627516935824136,
655.7010532767296,1.1118380976719862,
685.7270151358366,1.0631538518192487,
717.1279303842347,1.0166013390901156,
749.9667610955984,0.9720872168952749,
784.3093525124082,0.9295222298286681,
820.224565072452,0.8888210307012003,
857.7844124811066,0.8499020094108212,
897.0642061062426,0.8126871293058509,
938.142705985285,0.7771017707134495,
981.1022787472119,0.7430745813194755,
1026.0290627661395,0.7105373330997351,
1073.0131408776467,0.6794247855157602,
1122.1487210041523,0.6496745547007975,
1173.5343250515148,0.6212269883737226,
1227.2729864556143,0.5940250462300658,
1283.4724567750195,0.5680141855703174,
1342.245421743976,0.54314225193619,
1403.7097272189235,0.5193593745355516,
1467.9886154715934,0.4966178662463446,
1535.2109723024755,0.4748721279989874,
1605.5115854701385,0.4540785573455384,
1679.031414954591,0.4341954610322908,
1755.9178755965756,0.4151829714005003,
1836.3251326795319,0.3970029664476173,
1920.4144110468878,0.3796189933887425,
2008.3543183744998,0.36299619556503343,
2100.3211832464335,0.3471012425525104,
2196.4994087119585,0.33190226333112066,
2297.081842032684,0.31736878238005656,
2402.270161361206,0.30347165857119685,
2512.2752801266033,0.29018302673814056,
2627.3177699376165,0.27747624180367747,
2747.628302851474,0.26532582535366267,
2873.448113895156,0.2537074145501727,
3005.0294847665045,0.24259771328150612,
3142.6362496850466,0.23197444545108145,
3286.544324406816,0.22181631031157162,
3437.0422594639017,0.21210293975471384,
3594.431818738024,0.20281485747115924,
3759.028584528241,0.19393343989847142,
3931.162590326006,0.18544087887897184,
4111.17898256636,0.17732014595255643,
4299.438712682124,0.16955495821288963,
4496.31926084876,0.16212974565851018,
4702.215392871039,0.15502961997338738,
4917.539951729213,0.14824034467432978,
5142.724685371758,0.14174830656538723,
5378.221112414542,0.13554048844201222,
5624.501427482223,0.1296044429902476,
5882.059448007166,0.1239282678286079,
6151.41160438433,0.11850058164261126,
6433.097975467465,0.11331050136410839,
6727.68337148293,0.10834762034965255,
7035.758466532444,0.10360198751415746,
7357.940982955574,0.099064087378003,
7694.876929926739,0.09472482098758336,
8047.241898770236,0.09057548767104288,
8415.742417590522,0.08660776759261815,
8801.117367933934,0.08281370507060863,
9204.139466322391,0.079185692625528,
9625.616813629718,0.07571645572645319,
10066.394515407255,0.07239903820498814,
10527.356376407623,0.06922678830759917,
11009.42667270443,0.06619334535835769,
11513.572004961123,0.06329262700535176,
12040.803236564994,0.06051881702519817,
12592.177520512547,0.05786635366120638,
13168.800419110281,0.055329918471816564,
13771.828120741138,0.05290442566695803,
14402.469758141457,0.05058501191095259,
15061.989832836824,0.04836702657152572,
15751.710750598017,0.046246022395381885,
16473.01547300104,0.04421774659165886,
17227.35029040763,0.04227813230539422,
18016.227721926643,0.04042329046392121,
18841.229548170857,0.03864950197986113,
19704.009982890246,0.03695321029509655,
20606.298989841154,0.035331014250796156,
21549.905751542057,0.03377966126921889,
22536.722296871103,0.03229604083365354,
23568.72729477912,0.030877178253452292,
24647.99002172501,0.02952022870169224,
25776.674510788394,0.028222471513552276,
26957.04389077916,0.02698130473402015,
28191.464924044165,0.025794239904053166,
29482.412752069788,0.02465889707480142,
30832.47585839592,0.02357300003996996,
32244.361258792436,0.022534371776844538,
33720.899929105,0.021540930086937263,
35265.052481653605,0.020590683427623324,
36879.915101565646,0.01968172692654068,
38568.72575494639,0.01881223857091128,
40334.870681335015,0.017980475564316412,
42181.89118346415,0.01718477084382258,
44113.490727937,0.01642352975070733,
46133.54237105995,0.015695226848380376,
48246.09652471983,0.014998402881434503,
50455.38907787768,0.014331661870094785,
52765.84988996271,0.013693668334667734,
55182.11167319754,0.013083144644923087,
57709.01928166397,0.012498868489676638,
60351.639425735055,0.011939670462183022,
63115.27083135204,0.011404431757297911,
66005.4548645163,0.010892081976734285,
69027.98664229971,0.01040159703912167,
72188.92665265215,0.009931997191988153,
75494.61290630474,0.00948234512322959,
78951.67364513518,0.00905174417011863,
82567.04063247632,0.008639336624450093,
86347.96305201648,0.008244302133032403,
90302.02204316044,0.007865856193436258,
94437.14590199596,0.007503248745722945,
