Freq	Chan A	Chan B
10233000,00000000 	 3,55654240 	 -129,85334778
10471000,00000000 	 3,52188468 	 -132,17289734
10715000,00000000 	 3,49046898 	 -134,56832886
10965000,00000000 	 3,47310138 	 -137,07369995
11220000,00000000 	 3,47175431 	 -139,61555481
11482000,00000000 	 3,48643017 	 -142,17683411
11749000,00000000 	 3,52262592 	 -144,94581604
12023000,00000000 	 3,57596612 	 -147,65560913
12303000,00000000 	 3,65918279 	 -150,26988220
12589000,00000000 	 3,76899529 	 -152,69885254
12882000,00000000 	 3,92249322 	 -154,82556152
13183000,00000000 	 4,14557076 	 -156,56222534
13490000,00000000 	 4,49842215 	 -158,08335876
13804000,00000000 	 5,00631952 	 -159,94271851
14125000,00000000 	 5,87605143 	 -162,75488281
14454000,00000000 	 7,48223448 	 -168,61578369
14791000,00000000 	 9,04652691 	 -175,48258972
15136000,00000000 	 9,52460289 	 -183,56211853
15488000,00000000 	 8,62560844 	 -190,98101807
15849000,00000000 	 7,63581896 	 -195,15036011
16218000,00000000 	 7,22239161 	 -196,48298645
16596000,00000000 	 7,21189308 	 -196,63562012
16982000,00000000 	 7,42176723 	 -196,27087402
17378000,00000000 	 7,72792387 	 -195,84542847
17783000,00000000 	 8,11171341 	 -195,46693420
18197000,00000000 	 8,52340031 	 -195,04441833
18621000,00000000 	 8,92551899 	 -194,76802063
19055000,00000000 	 9,33388042 	 -194,56358337
19498000,00000000 	 9,74636650 	 -194,29830933
19953000,00000000 	 10,16811848 	 -194,17556763
20417000,00000000 	 10,55704308 	 -194,12840271
20893000,00000000 	 10,95359516 	 -194,04660034
21380000,00000000 	 11,30192375 	 -194,19812012
21878000,00000000 	 11,57526970 	 -194,35864258
22387000,00000000 	 11,80417824 	 -194,50875854
22909000,00000000 	 12,00697708 	 -194,54376221
23442000,00000000 	 12,11828804 	 -194,61309814
23988000,00000000 	 12,15254402 	 -194,86766052
24547000,00000000 	 12,18766308 	 -195,04910278
25119000,00000000 	 12,23768997 	 -195,18185425
25704000,00000000 	 12,26647568 	 -195,33074951
26303000,00000000 	 12,28970051 	 -195,43080139
26915000,00000000 	 12,34014797 	 -195,54524231
27542000,00000000 	 12,35262680 	 -195,63275146
28184000,00000000 	 12,39878082 	 -195,71624756
28840000,00000000 	 12,37758064 	 -195,80526733
29512000,00000000 	 12,38690376 	 -195,71293640
30200000,00000000 	 12,35633278 	 -195,68156433
30903000,00000000 	 12,33999062 	 -195,59448242
31623000,00000000 	 12,33953857 	 -195,57136536
32359000,00000000 	 12,33143902 	 -195,59555054
33113000,00000000 	 12,32660866 	 -195,98231506
33884000,00000000 	 12,14152431 	 -196,51562500
34674000,00000000 	 11,99501705 	 -195,79054260
35481000,00000000 	 11,90932274 	 -195,97004700
36308000,00000000 	 11,72161102 	 -196,16323853
37154000,00000000 	 11,47872257 	 -196,22752380
38019000,00000000 	 11,10887241 	 -196,40650940
38905000,00000000 	 10,57258320 	 -196,85736084
39811000,00000000 	 9,84705448 	 -197,71865845
40738000,00000000 	 9,08641338 	 -198,72120667
41687000,00000000 	 8,24694061 	 -199,95718384
42658000,00000000 	 7,38806295 	 -201,33052063
43652000,00000000 	 6,48558044 	 -202,93663025
44668000,00000000 	 5,52740717 	 -204,51548767
45709000,00000000 	 4,48912096 	 -205,87664795
46774000,00000000 	 3,41586137 	 -203,67201233
47863000,00000000 	 2,84589195 	 -184,49606323
48978000,00000000 	 7,30939913 	 -174,74899292
50119000,00000000 	 9,35604191 	 -237,72956848
51286000,00000000 	 6,77825975 	 -260,42480469
52481000,00000000 	 5,98515797 	 -274,10232544
53703000,00000000 	 6,10525131 	 -286,76437378
54954000,00000000 	 7,02921677 	 -299,52246094
56234000,00000000 	 9,07973766 	 -312,89260864
57544000,00000000 	 12,69120502 	 -325,91519165
58884000,00000000 	 18,89098167 	 -342,27020264
60256000,00000000 	 26,82636261 	 -361,64202881
61660000,00000000 	 37,37760925 	 -382,77673340
63096000,00000000 	 50,04574966 	 -411,81390381
64565000,00000000 	 49,00255966 	 -440,09143066
65000000,00000000 	 47,89917374 	 -445,89593506
